policy_id,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std
46,0.6012515921589395,0.030653127270101603,0.7331161659108087,0.005688920008550652,0.3210294117647059,0.06913580493684095
47,0.6335333558757952,0.02779953691984734,0.7261452608821307,0.004693687920058478,0.3038235294117647,0.06865200917519655
48,0.5904949359821082,0.02951309685934245,0.7398339391312081,0.006312473602496645,0.3195588235294118,0.06856124433368403
49,0.6264735126955014,0.028010848748881868,0.7286450920646037,0.005298413142450816,0.2907352941176471,0.06878279716614613
50,0.6552496062792303,0.02559468015570068,0.723229013133031,0.0042876243684741135,0.2757352941176471,0.06622366694839606
51,0.6264121139731498,0.028475624213075038,0.7315357955682273,0.005383307736283835,0.28102941176470586,0.06669851890453046
52,0.6569674157073915,0.025988012997712435,0.7237530039793696,0.00468124704861675,0.26,0.06523178645740277
53,0.6803561448921773,0.023171651308159093,0.7197775964552489,0.0038043328748099572,0.2510294117647059,0.06134681909413033
54,0.6680912155850591,0.026233477587753757,0.7233009148103686,0.004798132579437107,0.23852941176470588,0.06183469424008423
55,0.6914414640598061,0.02293550073827706,0.7183196327141969,0.004014624868304393,0.2263235294117647,0.05913290650038777
56,0.709224878253902,0.020651261384319722,0.7161105845115824,0.00351516043884473,0.21779411764705883,0.05618510178171026
57,0.7167291526725303,0.021342718131162928,0.7144033988595438,0.0033809419134113415,0.18882352941176472,0.05169317606483583
58,0.730785796746497,0.017910355545221038,0.7125977849473124,0.0028107827923489442,0.18632352941176472,0.047202476204140746
59,0.7390391504645435,0.01673920283966038,0.7117700100873684,0.0025972724174792234,0.1811764705882353,0.045242820032736844
60,0.7753279271518775,0.0,0.7066535642034593,0.0,0.14705882352941177,0.0
61,0.7753279271518775,0.0,0.7066535642034593,0.0,0.14705882352941177,0.0
62,0.7753279271518775,0.0,0.7066535642034593,0.0,0.14705882352941177,0.0
