event_id,season,week,rule_mode,elim_count,hard_hit_set,hard_hit_all_in_bottomk,hard_hit_k1_exact,hard_stage1_hit_bottom2,hard_stage2_hit_pred,use_two_stage,ppc_p_mean,ppc_p_q025,ppc_p_q975,ppc_logp_mean,ppc_logp_q025,ppc_logp_q975,pi_hdi_width_mean,pi_hdi_width_median,pi_sd_mean,pi_sd_median,pi_mean_max,pi_mean_min
4-5,4,5,percent,1,1,1,1.0,,,0,0.1292193001231998,0.1037648896150725,0.1393445321068427,-2.048900701928323,-2.2656276168059053,-1.9708057643827936,0.38340207925909253,0.3851041781931997,0.14514914277178256,0.1446895504497202,0.1346095670242107,0.1160012993500823
4-6,4,6,percent,1,0,0,0.0,,,0,0.1444891882712682,0.1147728176226531,0.1558725576878559,-1.9374903752315973,-2.1648009201428313,-1.858716543613542,0.440498096758209,0.4448004539171685,0.15953886173609017,0.160986695762748,0.1508324447077935,0.1288276553645408
4-7,4,7,percent,1,0,0,0.0,,,0,0.1699603244856113,0.1306625367894974,0.1861433939155265,-1.7760598389957818,-2.035137466686388,-1.681237967304957,0.5049841741299039,0.5170679084987959,0.17616205954862404,0.17774957902308797,0.1742772778622669,0.1515067490677025
4-8,4,8,percent,1,1,1,1.0,,,0,0.2073085946495953,0.1537203804995981,0.2312377181072828,-1.5784929560038354,-1.8726200397960433,-1.4643090162830683,0.5894670366646599,0.6136379735603504,0.19765643263737723,0.2009302665871655,0.2112237352676278,0.1823573382154667
4-9,4,9,percent,1,1,1,1.0,,,0,0.2535226024284023,0.1806815658893086,0.2881894362527973,-1.3787834571189048,-1.711019102121947,-1.2441372505508237,0.7080273633068871,0.7190702198103112,0.2233606609490833,0.22564283310334804,0.2652784770777536,0.2287103198305768
4-10,4,10,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.8279812884475418,0.831559037374843,0.25700084124518946,0.2563851847411291,0.3348056145181342,0.3320793722035849
5-1,5,1,percent,1,1,1,1.0,,,0,0.084512388023965,0.0713353923144607,0.0888598995932742,-2.4724814138917877,-2.6403627760667803,-2.4206943117147266,0.2568949537584196,0.25257884746622,0.1107255140286776,0.10951347625593415,0.0919124350530825,0.0783157117763023
5-2,5,2,percent,1,0,0,0.0,,,0,0.091316518576837,0.0769702781837219,0.0961016799041764,-2.3950514699242573,-2.5643359569625654,-2.3423484830352637,0.27975288769645107,0.2761618123818047,0.11734830609159906,0.1170960102348616,0.1007141843800461,0.0852887015696215
5-3,5,3,percent,1,1,1,1.0,,,0,0.1019193257697865,0.0849978196747189,0.10806797352089,-2.285402908831124,-2.465129674631197,-2.224994865660884,0.31407014850224735,0.3069726018325635,0.12708440276665905,0.12449036104488755,0.1082860542252803,0.0899669537838003
5-4,5,4,percent,1,1,1,1.0,,,0,0.1125026474984696,0.0930956477936534,0.1196974479598999,-2.186937701684293,-2.374127961552184,-2.122787986966142,0.34402421473925116,0.3322384877221857,0.1344973917138742,0.1332119698115834,0.1241180120354911,0.1003837304911519
