event_id,season,week,elim_count,use_two_stage,rule_mode,ppc_p_mean,ppc_p_q025,ppc_p_q975,ppc_logp_mean,ppc_logp_q025,ppc_logp_q975
3-8,3,8,1,0,percent,0.2545941040121972,0.1835340738592624,0.2889891461973372,-1.3742570465595274,-1.695355253840189,-1.241366148782717
3-9,3,9,1,0,percent,0.3393784902268402,0.2363844838576121,0.3999991237123084,-1.0896375841282926,-1.4422956315737807,-0.9162929226079032
3-10,3,10,0,0,percent,1.0,1.0,1.0,0.0,0.0,0.0
4-1,4,1,0,0,percent,1.0,1.0,1.0,0.0,0.0,0.0
4-2,4,2,1,0,percent,0.0913579342425606,0.0747724579841282,0.0962663952791562,-2.394903400323282,-2.5933056762834683,-2.340635979844358
4-3,4,3,1,0,percent,0.1005600232265985,0.0829049324557989,0.1064245555633188,-2.298993087084429,-2.4900607198028486,-2.2403189433781563
4-4,4,4,1,0,percent,0.113285623433788,0.0943885191412789,0.120826224337409,-2.180014549993591,-2.360335842857717,-2.1134019281861187
4-5,4,5,1,0,percent,0.1292193001231998,0.1037648896150725,0.1393445321068427,-2.048900701928323,-2.2656276168059053,-1.9708057643827936
4-6,4,6,1,0,percent,0.1444891882712682,0.1147728176226531,0.1558725576878559,-1.9374903752315973,-2.1648009201428313,-1.858716543613542
4-7,4,7,1,0,percent,0.1699603244856113,0.1306625367894974,0.1861433939155265,-1.7760598389957818,-2.035137466686388,-1.681237967304957
4-8,4,8,1,0,percent,0.2073085946495953,0.1537203804995981,0.2312377181072828,-1.5784929560038354,-1.8726200397960433,-1.4643090162830683
4-9,4,9,1,0,percent,0.2535226024284023,0.1806815658893086,0.2881894362527973,-1.3787834571189048,-1.711019102121947,-1.2441372505508237
4-10,4,10,0,0,percent,1.0,1.0,1.0,0.0,0.0,0.0
5-1,5,1,1,0,percent,0.084512388023965,0.0713353923144607,0.0888598995932742,-2.4724814138917877,-2.6403627760667803,-2.4206943117147266
5-2,5,2,1,0,percent,0.091316518576837,0.0769702781837219,0.0961016799041764,-2.3950514699242573,-2.5643359569625654,-2.3423484830352637
5-3,5,3,1,0,percent,0.1019193257697865,0.0849978196747189,0.10806797352089,-2.285402908831124,-2.465129674631197,-2.224994865660884
5-4,5,4,1,0,percent,0.1125026474984696,0.0930956477936534,0.1196974479598999,-2.186937701684293,-2.374127961552184,-2.122787986966142
5-5,5,5,1,0,percent,0.1269939976511502,0.1035277436911954,0.1364899454846095,-2.06609477932584,-2.2679156688091493,-1.9915043265466736
5-6,5,6,1,0,percent,0.1441729280034555,0.1127892138558541,0.1553284883580092,-1.939830793581168,-2.182234566786167,-1.8622131248395128
5-7,5,7,1,0,percent,0.1686050721809281,0.1298095373844225,0.1839479764304229,-1.78387152637969,-2.0416870604770496,-1.6931022990371785
