event_id,season,week,elim_count,use_two_stage,ppc_p_mean,ppc_p_q025,ppc_p_q975,ppc_logp_mean,ppc_logp_q025,ppc_logp_q975
3-7,3,7,1,0,0.20571553779715868,0.15176204134108764,0.2290311017011369,-1.5859961938987424,-1.8854415105718487,-1.4738974694553182
3-8,3,8,1,0,0.25459410401219723,0.18353407385926243,0.28898914619733723,-1.3742570465595274,-1.695355253840189,-1.241366148782717
3-9,3,9,1,0,0.3393784902268402,0.23638448385761215,0.39999912371230845,-1.0896375841282926,-1.4422956315737807,-0.9162929226079031
3-10,3,10,0,0,1.0,1.0,1.0,0.0,0.0,0.0
4-1,4,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0
4-2,4,2,1,0,0.09135793424256061,0.0747724579841282,0.09626639527915627,-2.394903400323282,-2.5933056762834683,-2.340635979844358
4-3,4,3,1,0,0.10056002322659853,0.08290493245579895,0.10642455556331883,-2.298993087084429,-2.4900607198028486,-2.2403189433781563
4-4,4,4,1,0,0.11328562343378806,0.0943885191412789,0.12082622433740904,-2.180014549993591,-2.360335842857717,-2.1134019281861187
4-5,4,5,1,0,0.12921930012319985,0.10376488961507259,0.1393445321068427,-2.048900701928323,-2.2656276168059053,-1.9708057643827934
4-6,4,6,1,0,0.1444891882712682,0.11477281762265318,0.15587255768785596,-1.9374903752315973,-2.1648009201428313,-1.858716543613542
4-7,4,7,1,0,0.16996032448561138,0.13066253678949746,0.1861433939155265,-1.7760598389957818,-2.035137466686388,-1.681237967304957
4-8,4,8,1,0,0.20730859464959536,0.15372038049959816,0.23123771810728283,-1.5784929560038354,-1.8726200397960433,-1.4643090162830683
4-9,4,9,1,0,0.25352260242840235,0.18068156588930867,0.28818943625279736,-1.3787834571189048,-1.711019102121947,-1.2441372505508237
4-10,4,10,0,0,1.0,1.0,1.0,0.0,0.0,0.0
5-1,5,1,1,0,0.08451238802396507,0.07133539231446076,0.08885989959327423,-2.4724814138917877,-2.6403627760667803,-2.4206943117147266
5-2,5,2,1,0,0.09131651857683701,0.07697027818372197,0.09610167990417645,-2.3950514699242573,-2.5643359569625654,-2.3423484830352637
5-3,5,3,1,0,0.10191932576978656,0.08499781967471895,0.10806797352089001,-2.285402908831124,-2.465129674631197,-2.224994865660884
5-4,5,4,1,0,0.11250264749846961,0.09309564779365345,0.11969744795989998,-2.186937701684293,-2.3741279615521838,-2.122787986966142
5-5,5,5,1,0,0.12699399765115024,0.10352774369119545,0.13648994548460955,-2.06609477932584,-2.2679156688091493,-1.9915043265466734
5-6,5,6,1,0,0.14417292800345552,0.11278921385585414,0.15532848835800928,-1.9398307935811678,-2.182234566786167,-1.8622131248395126
5-7,5,7,1,0,0.16860507218092813,0.12980953738442252,0.18394797643042293,-1.78387152637969,-2.0416870604770496,-1.6931022990371785
5-8,5,8,1,0,0.20274948340816076,0.1527858567588023,0.22519332844049972,-1.6003799693543115,-1.8787179969173982,-1.4907960082394307
5-9,5,9,1,0,0.2532145120550694,0.18169697481524605,0.28816772417830705,-1.380124888624811,-1.7054151690794892,-1.2442125927433947
5-10,5,10,0,0,1.0,1.0,1.0,0.0,0.0,0.0
6-1,6,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0
6-2,6,2,2,0,0.015640777244573124,0.012502460844958667,0.01717632035996666,-4.160829061911751,-4.381829822435424,-4.064223566991371
6-3,6,3,1,0,0.10082834283734075,0.08381232451560525,0.1066683564024324,-2.2962045957791126,-2.479175221610681,-2.238030730734514
6-4,6,4,1,0,0.1135390972553867,0.0948660607168618,0.12074791356526113,-2.1774214865882406,-2.3552892694075007,-2.1140502656049405
6-5,6,5,1,0,0.12686778878445246,0.10155892418766449,0.13596270211390396,-2.0674624731468096,-2.2871161213481535,-1.9953746800231333
6-6,6,6,1,0,0.1458130018200519,0.11385795801872411,0.15790699229050228,-1.9284480437486602,-2.1728035932808374,-1.8457490760397446
